AccessionNumber,GeneName,Function
Rv3487c,lipF,Function unknown; lipolytic enzyme involved in cellular metabolism.
Rv0296c,Rv0296c,Function unknown; probably involved in cellular metabolism.
Rv0669c,Rv0669c,Function unknown; hydrolytic enzyme probably involved in cellular metabolism.
Rv3591c,Rv3591c,Function unknown; probably involved in cellular metabolism.
Rv3677c,Rv3677c,Function unknown; probably involved in cellular metabolism.
Rv3762c,Rv3762c,Function unknown; probably involved in cellular metabolism.
Rv1400c,lipI,Function unknown  but possibly involved in lipid metabolism
Rv1426c,lipO,Function unknown  but supposedly involved in lipid metabolism
Rv1399c,nlhH,Function unknown  but supposedly involved in lipid metabolism
Rv2485c,lipQ,Function unknown; lipolytic enzyme involved in cellular metabolism.
Rv2045c,lipT,Converts unknown esters to corresponding free acid and alcohol
Rv2970c,lipN,Function unknown; lipolytic enzyme involved in cellular metabolism.
Rv2131c,cysQ,Can dephosphorylate a broad range of substrates. Likely involved in sulfur metabolism  controlling the pool of 3'-phosphoadenosine 5'-phosphate (pap) and 3'-phosphoadenoside 5'-phosphosulfate (PAPS) [catalytic activity: adenosine 3' 5'-bisphosphate + H2O = adenosine 5'-phosphate + phosphate]. Has also been shown to have myo-inositol 1-phosphatase [catalytic activity: myo-inositol 1-phosphate + H(2)O = myo-inositol + phosphate] and fructose 1 6-bisphosphatase [catalytic activity: D-fructose 1 6-bisphosphate + H2O = D-fructose 6-phosphate + phosphate] activities.
Rv3042c,serB2,Generates serine from phosphoserine [catalytic activity: phosphoserine + H(2)O = serine + phosphate].
Rv2419c,gpgP,Involved in the biosynthesis of methylglucose lipopolysaccharide (MGLP). Catalyzes the dephosphorylation of glucosyl-3-phosphoglycerate (GPG) to glucosylglycerate (GG). [Catalytic activity: glucosyl-3-phosphoglycerate + H2O = glucosylglycerate + phosphate]
Rv1755c,plcD,Hydrolyzes sphingomyelin in addition to phosphatidylcholine. Probable virulence factor implicated in the pathogenesis of M.tuberculosis at the level of intracellular survival  by the alteration of cell signaling events or by direct cytotoxicity [catalytic activity: a phosphatidylcholine + H(2)O = 1 2- diacylglycerol + choline phosphate].
Rv2349c,plcC,Hydrolyzes sphingomyelin in addition to phosphatidylcholine. Probable virulence factor implicated in the pathogenesis of Mycobacterium tuberculosis at the level of intracellular survival  by the alteration of cell signaling events or by direct cytotoxicity [catalytic activity: a phosphatidylcholine + H(2)O = 1 2- diacylglycerol + choline phosphate].
Rv2350c,plcB,Hydrolyzes sphingomyelin in addition to phosphatidylcholine. Probable virulence factor implicated in the pathogenesis of Mycobacterium tuberculosis at the level of intracellular survival  by the alteration of cell signaling events or by direct cytotoxicity [catalytic activity: a phosphatidylcholine + H(2)O = 1 2- diacylglycerol + choline phosphate].
Rv2351c,plcA,Hydrolyzes sphingomyelin in addition to phosphatidylcholine. Probable virulence factor implicated in the pathogenesis of Mycobacterium tuberculosis at the level of intracellular survival  by the alteration of cell signaling events or by direct cytotoxicity [catalytic activity: a phosphatidylcholine + H(2)O = 1 2- diacylglycerol + choline phosphate].
Rv0317c,glpQ2,Glycerophosphoryl diester phosphodiesterase hydrolyzes deacylated phospholipids to G3P and the corresponding alcohols [catalytic activity: a glycerophosphodiester + H(2)O = an alcohol + SN-glycerol 3-phosphate].
Rv3842c,glpQ1,Glycerophosphoryl diester phosphodiesterase hydrolyzes deacylated phospholipids to G3P and the corresponding alcohols [catalytic activity: a glycerophosphodiester + H(2)O = an alcohol + SN-glycerol 3-phosphate].
Rv2725c,hflX,Possibly a putative GTPase  modulating activity of HFLK and HFLC proteins.
Rv3299c,atsB,Generates sulfate and phenol from phenol sulfate [catalytic activity: a phenol sulfate + H(2)O = a phenol + sulfate].
Rv1327c,glgE,Function unknown; probably involved in polysaccharides degradation.
Rv3668c,Rv3668c,Function unknown; hydrolyses peptides and/or proteins.
Rv2089c,pepE,Hydrolysis of peptide bonds
Rv2535c,pepQ,Function unknown; hydrolyses peptides.
Rv3883c,mycP1,Has proteolytic activity. Cleaves ESPB|Rv3881c. Expressed during infection of macrophages.
Rv3886c,mycP2,Thought to have proteolytic activity.
Rv2460c,clpP2,CLP cleaves peptides in various proteins in a process that requires ATP hydrolysis. CLP may be responsible for a fairly general and central housekeeping function rather than for the degradation of specific substrates.
Rv2782c,pepR,Function unknown; possibly hydrolyzes peptides and/or proteins
Rv3419c,gcp,Hydrolysis of O-sialoglycoproteins; cleaves 31-ARG-|-asp-32 bond in glycophorin A. Does not cleave unglycosylated proteins  desialylated glycoproteins or glycoproteins that are only N-glycosylated. Could be a metalloprotease.
Rv0480c,Rv0480c,Function unknown; hydrolytic enzyme probably involved in cellular metabolism.
Rv3305c,amiA1,Function unknown; certainly hydrolyses L-amino acid.
Rv3306c,amiB1,Involved in cellular metabolism  active on carbon aliphatic amides and/or on many aromatic amides [catalytic activity: a monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3)].
Rv2112c,dop,Deamidates the C-terminal glutamine of pup
Rv1538c,ansA,Conversion of asparagine to aspartate [catalytic activity: L-asparagine + H(2)O = L-aspartate + NH(3).]
Rv2888c,amiC,Hydrolyzes a monocarboxylic acid amide and generates a monocarboxylate [catalytic activity: a monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3)].
Rv3752c,Rv3752c,Function unknown; probably involved in deamination of specific substrate.
Rv3609c,folE,Involved in the biosynthesis of tetrahydrofolate (at the first step) [catalytic activity: GTP + 2 H(2)O = formate + 2-amino-4-hydroxy-6-(erythro-1 2 3-trihydroxypropyl)dihydropteridine triphosphate].
Rv3313c,add,Catalyzes hydrolytic deamination of adenosine and generates inosine [catalytic activity: adenosine + H(2)O = inosine + NH(3) (also may act on deoxyadenosine)].
Rv3199c,nudC,Involved in nicotinate and nicotinamide metabolism. Generates AMP and NMN from NAD(+) and H(2)O. Acting on acid anhydrides  in phosphorus-containing anhydrides. Also acts on NADP+  3-acetylpyridine and the thionicotinamide analogues of NAD+ and NADP+ [catalytic activity: NADH + H(2)O = AMP + NMNH].
Rv2922A,acyP,Involved in cellular metabolism [catalytic activity: an acylphosphate + H(2)O = a fatty acid anion + orthophosphate].
Rv1833c,Rv1833c,May act on a wide range of 1-haloalkanes  haloalcohols  haloalkenes and some haloaromatic compounds [catalytic activity: 1-haloalkane + H(2)O <=> a primary alcohol + halide]
Rv0423c,thiC,Involved in thiamine biosynthesis. Required for the synthesis of the hydromethylpyrimidine (HMP) moiety of thiamine (4-amino-2-methyl-5-hydroxymethylpyrimidine).
Rv2606c,snzP,Possibly involved in the biosynthesis of pyridoxine/pyridoxal 5-phosphate biosynthesis
Rv2531c,Rv2531c,Unknown. Could be an ornithine/arginine/lysine decarboxylase involved in the biosynthesis of spermidine from arginine.
Rv3432c,gadB,Catalyzes the production of GABA [catalytic activity: L-glutamate = 4-aminobutanoate + CO(2)].
Rv3276c,purK,Involved in purine biosynthesis (sixth step). Possesses an ATPase activity that is dependent on the presence of air (aminoimidazole ribonucleotide). The association of PURK and pure produces an enzyme complex capable of converting air to CAIR efficiently under physiological condition [catalytic activity: 1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate = 1-(5-phosphoribosyl)-5-aminoimidazole + CO(2)].
Rv2678c,hemE,Involved in porphyrin biosynthesis [catalytic activity: uroporphyrinogen III = coproporphyrinogen + 4 CO(2)].
Rv1248c,Rv1248c,Involved in cellular metabolism. Has alpha-ketoglutarate dehydrogenase (KDH) [catalytic activity: 2-oxoglutarate + lipoamide = S-succinyldihydrolipoamide + CO2]  alpha-ketoglutarate decarboxylase (KGD) [catalytic activity: 2-oxoglutarate = succinate semialdehyde + CO2]  and 2-hydroxy-3-oxoadipate (HOA) synthase [catalytic activity: 2-oxoglutarate + glyoxylate + H+ = 2-hydroxy-3-oxoadipate + CO2] activities.
Rv0118c,oxcA,Involved in catabolism of oxalic acid [catalytic activity: oxalyl-CoA = formyl-CoA + CO2].
Rv3469c,mhpE,Involved in aromatic hydrocarbons degradation [catalytic activity: 4-hydroxy-2-oxovalerate = pyruvate + acetaldehyde].
Rv2949c,Rv2949c,Catalyzes the conversion of chorismate to 4-hydroxybenzoate [catalytic activity: chorismate = 4-hydroxybenzoate + pyruvate]
Rv3534c,hsaF,Supposed involvement in one  or several  catabolic pathways [catalytic activity: 4-hydroxy-2-oxovalerate = pyruvate + acetaldehyde]. Predicted to be involved in lipid catabolism.
Rv3536c,hsaE,Function unknown; probably involved in cellular metabolism. Predicted to be involved in lipid catabolism.
Rv1475c,acn,Involved in tricarboxylic acid cycle [catalytic activity: citrate = cis-aconitate + H2O]
Rv2988c,leuC,Involved in leucine biosynthesis (at the second step) [catalytic activity: 3-isopropylmalate = 2-isopropylmaleate + H(2)O (also catalyses 2-isopropylmaleate + H(2)O = 3-hydroxy-4-methyl-3-carboxypentanone)].
Rv3468c,Rv3468c,Possibly involved in dTDP-L-rhamnose biosynthesis [catalytic activity: dTDP-glucose = dTDP-4-dehydro-6-deoxy-D-glucose + H(2)O].
Rv3838c,pheA,Involved in L-phenylalanine biosynthesis [catalytic activity: prephenate = phenylpyruvate + H(2)O + CO(2)].
Rv0189c,ilvD,Involved in valine and isoleucine biosynthesis (at the fourth step) [catalytic activity: 2 3-dihydroxy-3-methylbutanoate = 3-methyl-2- oxobutanoate + H(2)O].
Rv2538c,aroB,Involved at the second step in the biosynthesis of chorismate within the biosynthesis of aromatic amino acids (the shikimate pathway) [catalytic activity: 7-phospho-3-deoxy-arabino-heptulosonate = 3-dehydroquinate + orthophosphate].
Rv0069c,sdaA,Involved in gluconeogenesis from serine [catalytic activity: L-serine + H2O = pyruvate + NH3 + H2O].
Rv3025c,iscS,Catalyzes the removal of elemental sulfur from cysteine to produce alanine.
Rv2435c,Rv2435c,Generates 3 '5'-cyclic (a/G)mp and diphosphate (or pyrophosphate) from (a/G)TP.
Rv3581c,ispF,Involved in the deoxyxylulose-5-phosphate pathway (DXP) of isoprenoid biosynthesis (at the fifth step). Converts 4-diphosphocytidyl-2C-methyl-D-erythritol 2-phosphate into 2C-methyl-D-erythritol 2 4-cyclodiphosphate and CMP. Also converts 4-diphosphocytidyl-2C-methyl-D-erythritol into 2C-methyl-D-erythritol 3 4-cyclophosphate and CMP.
Rv3634c,galE1,Involved in galactofuranosyl biosynthesis: converts UDO-GlcP to UDP-GalP [catalytic activity: UDP-glucopyranose = UDP-galactopyranose].
Rv3255c,manA,This enzyme converts D-mannose 6-phosphate to D-fructose 6-phosphate [catalytic activity: D-mannose 6-phosphate = D-fructose 6-phosphate].
Rv2993c,Rv2993c,Isomerizes HHDD (2-hydroxy-hept-2 4-diene-1 7-dioate) to OHED (2-oxo-hept-3-ene-1 7-dioate).
Rv1745c,idi,Catalyzes the 1 3-allylic rearrangement of the homoallylic substrate isopenten to its allylic isomer  dimethylallyl diphosphate (DMAPP) [catalytic activity :isopentenyl diphosphate = dimethylallyl diphosphate]
Rv3837c,Rv3837c,Thought to be involved in glycolisis and perhaps glycogen metabolism [catalytic activity: 3-phosphoglycerate = 2-phosphoglycerate].
Rv3441c,mrsA,Function unknown; involved in cellular metabolism.
Rv3068c,pgmA,This enzyme participates in both the breakdown and synthesis of glucose [catalytic activity: alpha-D-glucose 1-phosphate = alpha-D-glucose 6-phosphate].
Rv3257c,pmmA,This enzyme converses D-mannose 1-phosphate in D-mannose 6-phosphate [catalytic activity: D-mannose 1-phosphate = D-mannose 6-phosphate].
Rv3377c,Rv3377c,Produces halimadienyl diphosphate (tuberculosinyl diphosphate) from geranylgeranyl diphosphate (GGPP) [catalytic activity: geranylgeranyl diphosphate = halima-5(6) 13-DIEN-15-YL diphosphate]
Rv2130c,mshC,Involved in the third step of mycothiol biosynthesis
Rv0542c,menE,Involved in menaquinone biosynthesis. O-succinylbenzoic acid (OSB) to O-succinylbenzoyl-CoA (OSB-CoA) [catalytic activity: ATP + O-succinylbenzoate + CoA = AMP + diphosphate + O-succinylbenzoyl-CoA].
Rv2222c,glnA2,Involved in glutamine biosynthesis [catalytic activity: ATP + L-glutamate + NH(3) = ADP + glutamine + orthophosphate].
Rv2860c,glnA4,Involved in glutamine biosynthesis [catalytic activity: ATP + L-glutamate + NH(3) = ADP + glutamine + orthophosphate].
Rv3704c,gshA,Involved in glutathione biosynthesis (at the first step) [catalytic activity: ATP + L-glutamate + L-cysteine = ADP + orthophosphate + gamma-L-glutamyl-L-cysteine].
Rv2097c,pafA,Ligates deamidated pup to proteasomal substrate proteins. Requires hydrolysis of ATP to ADP.
Rv0357c,purA,Involved in AMP biosynthesis (first committed step). Plays an important role in the de novo pathway of purine nucleotide biosynthesis [catalytic activity: GTP + imp + L-aspartate = GDP + phosphate + adenylosuccinate].
Rv2859c,Rv2859c,Function unknown; probably involved in cellular metabolism.
Rv3396c,guaA,Involved in GMP biosynthesis [catalytic activity: ATP + xanthosine 5'-phosphate + L-glutamine + H(2)O = AMP + pyrophosphate + GMP + L-glutamate].
Rv2967c,pca,Involved in gluconeogenesis and lipogenesis. Pyruvate carboxylase catalyzes a 2-step reaction  involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second [catalytic activity: ATP + pyruvate + HCO(3)(-) = ADP + phosphate + oxaloacetate].
Rv2773c,dapB,Involved in biosynthesis of diaminopimelate and lysine from aspartate semialdehyde (at the second step) [catalytic activity: 2 3 4 5-tetrahydrodipicolinate + NAD(P)(+) = 2 3-dihydrodipicolinate + NAD(P)H].
Rv2763c,dfrA,Essential step for de novo glycine and purine synthesis  DNA precursor synthesis  and for the conversion of dUMP to dTMP [catalytic activity: 5 6 7 8-tetrahydrofolate + NADP(+) = 7 8-dihydrofolate + NADPH].
Rv0764c,cyp51,Involved in sterol biosynthesis. Its precise biological substrate is not known. Catalyzes C14-demethylation of lanosterol  24 25-dihydrolanosterol and obtusifoliol which is critical for ergosterol biosynthesis. It transforms lanosterol into 4 4'-dimethyl cholesta-8 14 24-triene-3-beta-ol.
Rv3608c,folP1,Involved in dihydrofolate biosynthesis (at the second step). Catalyzes the formation of the immediate precursor of FOLIC acid. It is implicated in resistance to sulfonamide [catalytic activity: 2-amino-4-hydroxy-6-hydroxymethyl-7 8-dihydropteridine diphosphate + 4-aminobenzoate = pyrophosphate + dihydropteroate].
Rv3247c,tmk,Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis [catalytic activity: ATP + thymidine 5'-phosphate = ADP + thymidine 5'-diphosphate].
Rv2537c,aroD,Involved at the third step in the biosynthesis of chorismate within the biosynthesis of aromatic amino acids (the shikimate pathway). Catalyze a trans-dehydration via an enolate intermediate [catalytic activity: 3-dehydroquinate = 3-dehydroshikimate + H(2)O].
Rv2118c,Rv2118c,Involved in transfer of methyl group (from S-adenosyl-L-methionine to the substrate).
Rv1542c,glbN,Oxygen transport
Rv2445c,ndkA,Major role in the synthesis of nucleoside triphosphates other than ATP [catalytic activity: ATP + nucleoside diphosphate = ADP + nucleoside triphosphate].
Rv2539c,aroK,Involved at the fifth step in the biosynthesis of chorismate within the biosynthesis of aromatic amino acids (the shikimate pathway) [catalytic activity: ATP + shikimate = ADP + shikimate 3-phosphate].
Rv3602c,panC,Involved in pantothenate biosynthesis [catalytic activity: ATP + (R)-pantoate + beta-alanine = AMP + pyrophosphate + (R)-pantothenate].
Rv2697c,dut,Involved in biosynthesis of thymidylate. This enzyme is involved in nucleotide metabolism: it produces dUMP  the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA [catalytic activity: dUTP + H(2)O = dUMP + pyrophosphate].
Rv1837c,glcB,Involved in glyoxylate bypass (second step)  an alternative to the tricarboxylic acid cycle [catalytic activity: L-malate + CoA = acetyl-CoA + H(2)O + glyoxylate]
Rv3607c,folB,Involved in folate biosynthesis. Catalyzes the conversion of 7 8-dihydroneopterin to 6- hydroxymethyl-7 8-dihydropterin [catalytic activity: 2-amino-4-hydroxy-6-(D-erythro-1 2 3-trihydroxypropyl)-7 8-dihydropteridine = 2-amino-4-hydroxy-6-hydroxymethyl-7 8-dihydropteridine + glycolaldehyde].
Rv2121c,hisG,Involved in histidine biosynthesis.
Rv0137c,msrA,Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine [catalytic activity: protein L-methionine + oxidized thioredoxin + H2O = protein-L-methionine-(S)-S-oxide + reduced thioredoxin].
Rv2498c,citE,Interconversion of acetate and oxaloacetate from citrate [catalytic activity: citrate = acetate + oxaloacetate].
Rv2465c,rpiB,Interconverts ribose-5-phosphate and ribulose-5-phosphate
Rv2995c,leuB,Involved in leucine biosynthesis (at the third step) [catalytic activity: 3-carboxy-2-hydroxy-4-methylpentanoate + NAD(+) = 3-carboxy-4-methyl-2-oxopentanoate + NADH (the product decarboxylates to 4-methyl-2-oxopentanoate)].
Rv3303c,lpdA,Involved in energy metabolism. Can catalyze the reduction of electron acceptors such as 2 6-dimethyl-1 4-benzoquinone (DMBQ) and 5-hydroxy-1 4-napthaquinone (5-HNQ) [catalytic activity: NAD(P)H + a quinone + H+ -> a quinol + NAD(P)+].
Rv3423c,alr,Provides the D-alanine required for cell wall biosynthesis. Transforms L-alanine to D-alanine [catalytic activity: L-alanine = D-alanine]
Rv2753c,dapA,Involved in biosynthesis of diaminopimelate and lysine from aspartate semialdehyde (at the first step) [catalytic activity: L-aspartate 4-semialdehyde + pyruvate = dihydrodipicolinate + 2 H(2)O].
Rv2861c,mapB,Removes the amino-terminal methionine from nascent proteins [catalytic activity: L-methionylpeptide + H(2)O = L-methionine + peptide].
Rv2122c,hisE,Involved in histidine biosynthesis.
Rv1900c,lipJ,Function unknown; probably involved in cellular metabolism
Rv2996c,serA1,Involved at the first committed step in the 'phosphorylated' pathway of L-serine biosynthesis [catalytic activity: 3-phosphoglycerate + NAD(+) = 3-phosphohydroxypyruvate + NADH].
Rv1625c,cya,Involved in cAMP synthesis [catalytic activity: ATP = 3' 5'-cyclic AMP + diphosphate]. Inhibited by polyphosphates.
Rv3588c,canB,Catalyzes reversible dehydration of CO2 to form bicarbonate
Rv2540c,aroF,Involved at the seventh step in the biosynthesis of chorismate within the biosynthesis of aromatic amino acids (the shikimate pathway) [catalytic activity: 5-O-(1-carboxyvinyl)-3-phosphoshikimate = chorismate + orthophosphate].
Rv2192c,trpD,Tryptophan biosynthesis
Rv2754c,thyX,Catalyzes the formation of dTMP and tetrahydrofolate from dUMP and methylenetetrahydrofolate
Rv1885c,Rv1885c,Involved in the shikimate pathway. Converts chorismate to prephenate in the biosynthesis of tyrosine and phenylalanine.
Rv2178c,aroG,Chorismate biosynthesis
Rv3356c,folD,Necessary for the biosynthesis of purines  thymydylate  methionine  histidine  pantothenate  and formyl tRNA-met [catalytic activity: 5 10-methylenetetrahydrofolate + NADP(+) = 5 10-methenyltetrahydrofolate + NADPH] [catalytic activity: 5 10-methenyltetrahydrofolate + H(2)O = 10-formyltetrahydrofolate].
Rv3601c,panD,Involved in pantothenate biosynthesis [catalytic activity: L-aspartate = beta-alanine + CO(2)].
Rv2870c,dxr,Involved in the deoxyxylulose-5-phosphate pathway (DXP) of isoprenoid biosynthesis (at the second step). Catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D- erythritol 4-phosphate (MEP).
Rv2461c,clpP1,CLP cleaves peptides in various proteins in a process that requires ATP hydrolysis. CLP may be responsible for a fairly general and central housekeeping function rather than for the degradation of specific substrates.
Rv3279c,birA,BIRA acts both as a biotin-operon repressor and as the enzyme that synthesizes the corepressor  acetyl-CoA:carbon-dioxide ligase. This protein also activates biotin to form biotinyl-5'-adenylate and transfers the biotin moiety to biotin-accepting proteins [catalytic activity: ATP + biotin + APO-[acetyl-CoA:carbon-dioxide ligase (ADP forming)] = AMP + pyrophosphate + [acetyl-CoA:carbon-dioxide ligase (ADP forming)]].
Rv3290c,lat,Possibly involved in L-alpha-aminoadipic acid (L-AAA) biosynthesis. Catalyzes the transfer of the terminal amino group of L-lysine or L-ornithine to alpha-ketoglutarate [catalytic activity: L-lysine + 2-oxoglutarate = 2-aminoadipate 6-semialdehyde + L-glutamate].
Rv2110c,prcB,Protein degradation
Rv2109c,prcA,Protein degradation
Rv0884c,serC,Catalyzes the reversible interconversion of phosphoserine and 2-oxoglutarate to 3-phosphonooxypyruvate and glutamate. Require both in the major phosphorylated pathway of serine biosynthesis and in pyridoxine biosynthesis [catalytic activity: O-phospho-L-serine + 2-oxoglutarate = 3-phosphonooxypyruvate + L-glutamate].
Rv2068c,blaC,Hydrolyses beta-lactams to generate corresponding beta-amino acid [catalytic activity: a beta-lactam + H(2)O = a substituted beta-amino acid].
Rv3708c,asd,Involved at the second step in the common biosynthetic pathway leading from asp to the cell wall precursor MESO-diaminopimelate  to LYS  to met  to ILE and to THR [catalytic activity: L-aspartate-semialdehyde + orthophosphate + NADP(+) = L-aspartyl phosphate + NADPH].
Rv3250c,rubB,Involved in the hydrocarbon hydroxylating system to convert conversion of dodecane to lauric acid  which transfers electrons from NADH to rubredoxin reductase and then through rubredoxin to alkane 1 monooxygenase.
Rv2202c,adoK,Adenosine phosphorylation
Rv2701c,suhB,Involved in inositol phosphate metabolism. It is responsible for the provision of inositol required for synthesis of phosphatidylinositol and polyphosphoinositides. Key enzyme of the phosphatidyl inositol signaling pathway. [catalytic activity: myo-inositol 1-phosphate + H(2)O = myo-inositol + phosphate]
Rv1256c,cyp130,Cytochromes P450 are a group of heme-thiolate monooxygenases. They oxidize a variety of structurally unrelated compounds  including steroids  fatty acids  and xenobiotics.
Rv3569c,hsaD,Catalyzes the hydrolysis of 4 5-9 10-diseco-3-hydroxy-5 9 17-trioxoandrosta-1(10) 2-diene-4-OIC acid (4 9-DHSA)
Rv2447c,folC,Conversion of folates to polyglutamate derivatives. Bacteria require folate for the biosynthesis of glycine  methionine  formyl-met-tRNA  thymidylates  purines  and pantothenate [catalytic activity: ATP + {tetrahydrofolyl-[GLU]}(N) + L-glutamate = ADP + phosphate + {tetrahydrofolyl-[GLU]}(N+1)].
Rv0946c,pgi,Involved in glycolysis and in gluconeogenesis [catalytic activity: D-glucose 6-phosphate = D-fructose 6-phosphate].
Rv3518c,cyp142,Cytochromes P450 are a group of heme-thiolate monooxygenases. They oxidize a variety of structurally unrelated compounds  including steroids  fatty acids  and xenobiotics.
Rv3582c,ispD,Involved in the deoxyxylulose-5-phosphate pathway (DXP) of isoprenoid biosynthesis (at the third step). Catalyzes the formation of 4-diphosphocytidyl-2C-methyl-D-erythritol (CDP-me) from CTP and 2C-methyl-D-erythritol 4-phosphate (MEP).
Rv3568c,hsaC,Catalyzes the extradiol cleavage of 3 4-dihydroxy-9 10-seconandrost-1 3 5(10)-triene-9 17-dione (3 4-DHSA)
Rv3248c,sahH,Thioester hydrolase which acting on ether bounds. Could be involved in methionine and selenoamino acid metabolisms. Also involved in activated methyl. Cycle adenosylhomocysteine is a competitive inhibitor of S-adenosyl-L-methionine-dependent methyl transferase reactions; therefore adenosylhomocysteinase may play a key role in the control of methylations via regulation of the intracellular concentration of adenosylhomocysteine [catalytic activity: S-adenosyl-L-homocysteine + H(2)O = adenosine + L-homocysteine].
Rv0815c,cysA2,May be a sulfotransferase involved in the formation of thiosulfate [catalytic activity: thiosulfate + cyanide = sulfite + thiocyanate].
Rv3570c,hsaA,Function unknown; probably involved in cellular metabolism. Predicted to be involved in lipid catabolism.
Rv0223c,Rv0223c,Thought to oxidize a wide variety of aliphatic and aromatic aldehydes.
Rv3778c,Rv3778c,Function unknown; probably involved in cellular metabolism.
Rv2438c,nadE,Involved in biosynthesis of NAD. Can use both glutamine or ammonia as a nitrogen source [catalytic activity: ATP + deamido-NAD(+) + L-glutamine + H(2)O = AMP + diphosphate + NAD(+) + L-glutamate].
Rv2726c,dapF,Involved in biosynthesis of lysine from aspartate semialdehyde (at the sixth step) [catalytic activity: ll-2 6-diaminoheptanedioate = MESO-diaminoheptanedioate].
Rv2987c,leuD,Involved in leucine biosynthesis (at the second step) [catalytic activity: 3-isopropylmalate = 2-isopropylmaleate + H(2)O (also catalyses 2-isopropylmaleate + H(2)O = 3-hydroxy-4-methyl-3-carboxypentanone)].
Rv2210c,ilvE,Thought to catalyze the first reaction in the catabolism of the essential branched chain amino acids leucine  isoleucine  and valine [catalytic activity: L-leucine + 2-oxoglutarate = 4-methyl-2-oxopentanoate + L-glutamate].
Rv1445c,devB,Involved in pentose phosphate pathway. Hydrolysis of 6-phosphogluconolactone to 6- phosphogluconate. [catalytic activity: 6-phospho-D-glucono-1 5-lactone + H(2)O = 6- phospho-D-gluconate]
Rv3315c,cdd,This enzyme scavenge exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis [catalytic activity: cytidine + H(2)O = uridine + NH(3)].
Rv3545c,cyp125,Cytochromes P450 are a group of heme-thiolate monooxygenases. They oxidize a variety of structurally unrelated compounds  including steroids  fatty acids  and xenobiotics.
Rv1326c,glgB,Involved in glycogen biosynthesis (cytoplasmic polysaccharides) (third step) [catalytic activity: formation of 1 6-glucosidic linkages of glycogen].
Rv3671c,Rv3671c,Function unknown; hydrolyses of peptides and/or proteins (possibly cleaved preferentially after serine residue).
Rv3389c,htdY,Involved in fatty acid synthesis type II (fas-II)
Rv2495c,bkdC,Involved in energy metabolism. The branched-chain alpha-keto acid dehydrogenase complex catalyzes the overall conversion of branched chain alpha-keto acids to acyl-CoA and CO2. It contains multiple copies of three enzymatic components: branched-chain alpha-keto acid decarboxylase (E1)  lipoamide acyltransferase (E2) and lipoamide dehydrogenase (E3).
Rv3275c,purE,Involved in purine biosynthesis (sixth step). This subunit can alone transform air to CAIR  but in association with PURK  which possesses an ATPase activity  an enzyme complex is produced which is capable of converting air to CAIR efficiently under physiological condition [catalytic activity: 1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate = 1-(5-phosphoribosyl)-5-aminoimidazole + CO(2)].
Rv1098c,fum,Involved in the tricarboxylic acid cycle. Catalyzes the reversible hydration of fumarate to L-malate [catalytic activity: (S)-malate = fumarate + H2O]
Rv2883c,pyrH,Uridine monophosphate kinase [catalytic activity: ATP + UMP = ADP + UDP].
Rv0414c,thiE,Involved in thiamine biosynthesis. Condenses 4-methyl-5-(beta-hydroxyethyl)-thiazole monophosphate (THZ-P) and 4-amino-5-hydroxymethyl pyrimidine pyrophosphate (HMP-pp) to form thiamine monophosphate (TMP) [catalytic activity: 2-methyl-4-amino-5-hydroxymethylpyrimidine diphosphate + 4-4-methyl-5-(2-phosphonooxyethyl)-thiazole = diphosphate + thiamine monophosphate].
Rv2966c,Rv2966c,Thought to cause methylation.
Rv2764c,thyA,Involved in deoxyribonucleotide biosynthesis. Provides the sole de novo source of dTMP for DANA biosynthesis [catalytic activity: 5 10-methylenetetrahydrofolate + dUMP = dihydrofolate + dTMP].
Rv3266c,rmlD,Involved in dTDP-L-rhamnose biosynthesis: converts dTDP-6-deoxy-L-lyxo-4-hexulose to dTDP-L-rhamnose with the concomitant oxidation of NADPH to NADP+ [catalytic activity: dTDP-6-deoxy-L-lyxo-4-hexulose + NADPH = dTDP-L-rhamnose + NADP+].
Rv3854c,ethA,Activates the pro-drug ethionamide (ETH); induced ETH sensitivity when overexpressed in Mycobacterium tuberculosis.
Rv1854c,ndh,Transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. Does not couple the redox reaction to proton translocation.
Rv3566c,nat,Could have a role in acetylating  and hence inactivating  the antitubercular drug isoniazid [catalytic activity: acetyl-CoA + arylamine = CoA + N-acetylarylamine].
Rv2043c,pncA,Converts amides such as nicotinamide to corresponding acid.
Rv3221c,TB7.3,Function unknown
Rv1528c,papA4,Function unknown; thought to be involved in lipid metabolism.
